generation,max_fitness,mean_fitness,stdev_fitness
0,90.28788221052463,8.74778528378824,24.531976699385496
1,89.78901301948918,7.322031488215756,23.403413174080093
2,89.4252886203982,7.833835946893214,24.155765151074196
3,91.1198287472796,5.649649737885564,21.412614335935444
4,87.81288973525115,7.648150881914172,23.841579939578924
5,89.71935834262663,7.685586268280811,22.69481828950518
6,87.19935834262662,5.648844928594009,21.922212505031084
7,91.6870404150784,7.505148580495232,25.05240734337373
8,89.52779752022556,3.6801374721586315,19.360204934922088
9,87.6535479947156,3.105568181176737,20.170625124597386
10,88.79921377653416,3.1173329678245674,17.8928575146135
11,87.13935834262664,5.669565555098139,20.34124502859961
12,87.15982874727959,5.841058524947719,21.225933318469046
13,87.11353194306673,6.0345999205761505,20.776715894727104
14,88.7397425546912,6.588540270001624,22.219140731074056
15,87.11636882440193,9.189597248025818,26.202279856001475
16,89.0394098299003,13.987281902315706,29.008930981609648
17,87.19067522005317,12.430054348914036,27.323808011592924
18,87.23788162462296,13.205128017825471,27.8882969824121
19,91.49842158035621,18.712134162169587,31.61949854272362
20,92.79289246928255,27.78576375136955,34.63645439826155
21,93.26168263345198,29.955452944256848,36.3157639469445
22,90.17606371931285,34.52335275205457,38.288177440800766
23,90.79356122494231,31.34014147374436,36.179671591102945
24,90.79968822339262,36.37680120127742,37.479290269173056
25,91.27968822339261,34.95629661421503,37.91243002876946
26,89.8135479947156,37.03704966497728,36.94691861556068
27,90.95959913428288,36.92467237355945,35.42330262049475
28,89.65356122494231,32.71545355682686,35.485780202179384
29,90.85315225241283,38.77576794539815,38.692911427801526
