generation,time,memory_usage_MB,cpu_usage_percent
0,0.11382913589477539,11189.390625,31.2
0,0.027889013290405273,11094.78125,33.4
0,0.02060103416442871,11132.6875,23.2
0,0.02987194061279297,11041.859375,17.2
0,0.044159889221191406,11167.921875,24.1
0,0.059969186782836914,11018.859375,22.2
0,0.055757999420166016,11025.453125,21.1
0,0.04031181335449219,11036.765625,18.7
0,0.03417706489562988,11006.859375,15.4
0,0.034893035888671875,11016.015625,15.8
0,0.04221177101135254,10996.34375,16.8
0,0.021200895309448242,11012.0625,15.3
0,0.04145503044128418,11030.34375,14.0
0,0.04347586631774902,11025.140625,17.4
0,0.022123098373413086,10802.046875,42.0
0,0.02639293670654297,10836.5,16.4
0,0.02988409996032715,10849.75,17.7
0,0.04334306716918945,10894.203125,14.9
0,0.029800891876220703,10899.484375,16.0
0,0.04647707939147949,10909.609375,14.8
0,0.03690004348754883,10908.90625,15.6
0,0.02937912940979004,10898.4375,13.6
0,0.026533126831054688,10897.578125,17.9
0,0.030168771743774414,10914.875,19.5
0,0.02414393424987793,10904.90625,15.3
0,0.03200674057006836,10960.03125,17.3
0,0.04215598106384277,10985.765625,18.3
0,0.02628612518310547,10977.90625,14.7
0,0.029916048049926758,11035.734375,15.6
0,0.0555880069732666,11019.34375,13.6
0,0.05610299110412598,11103.828125,15.9
0,0.031561851501464844,11114.796875,18.1
0,0.03216838836669922,11122.78125,22.4
0,0.04022812843322754,11183.375,20.4
0,0.028534889221191406,11163.65625,17.2
0,0.03231310844421387,11186.484375,21.9
0,0.036409854888916016,11143.515625,19.5
0,0.040305137634277344,11153.40625,18.2
0,0.0359799861907959,11163.5625,19.2
0,0.030298233032226562,11179.9375,14.8
0,0.029655933380126953,11187.046875,16.9
0,0.03411674499511719,11160.109375,14.6
0,0.03580474853515625,11160.75,19.5
0,0.023064136505126953,11184.0625,40.2
0,0.020612001419067383,11158.96875,13.3
0,0.03557276725769043,11132.96875,14.7
0,0.034256935119628906,11140.15625,14.3
0,0.04081106185913086,11143.8125,15.1
0,0.04846811294555664,11144.6875,13.8
0,0.03237509727478027,11161.203125,14.9
0,0.025949954986572266,11150.4375,15.5
0,0.028271198272705078,11129.6875,18.8
0,0.03200984001159668,11167.515625,26.6
0,0.02377605438232422,11165.234375,22.7
0,0.03710007667541504,11169.828125,17.4
0,0.029186010360717773,11157.171875,16.4
0,0.03256988525390625,11180.5,22.3
0,0.028847932815551758,11187.65625,13.9
0,0.03224611282348633,11141.9375,13.7
0,0.05926394462585449,11185.296875,15.5
0,0.027843952178955078,11166.765625,28.3
0,0.04742002487182617,11141.515625,23.7
0,0.03996419906616211,11187.4375,22.6
0,0.036035776138305664,11161.515625,25.7
0,0.038329124450683594,11130.453125,23.1
0,0.03315877914428711,11268.546875,28.6
0,0.01972794532775879,11096.28125,22.8
0,0.022760868072509766,11107.953125,26.2
0,0.031086206436157227,11187.65625,23.8
0,0.04227089881896973,11010.90625,27.6
0,0.04291892051696777,10899.21875,27.9
0,0.045974016189575195,10922.09375,35.0
0,0.04266810417175293,10912.375,23.1
0,0.05446195602416992,10950.5,22.1
0,0.04402899742126465,10848.28125,19.1
0,0.050124168395996094,10839.828125,24.2
0,0.05334901809692383,10633.078125,32.4
0,0.04439187049865723,10668.546875,17.4
0,0.041203975677490234,10682.421875,18.0
0,0.03168368339538574,10703.453125,20.2
0,0.04305005073547363,10729.0625,22.2
0,0.04565620422363281,10980.609375,28.6
0,0.050002098083496094,11049.5625,22.4
0,0.04023098945617676,10993.15625,39.6
0,0.03921985626220703,10958.328125,31.2
0,0.05491304397583008,11011.09375,29.9
0,0.04320693016052246,11139.03125,26.3
0,0.03845500946044922,11108.96875,16.3
0,0.04636693000793457,10895.5,18.7
0,0.04445219039916992,10791.828125,19.9
0,0.03822922706604004,10830.765625,23.1
0,0.029291152954101562,10698.40625,22.3
0,0.03999590873718262,10743.640625,21.6
0,0.03738117218017578,10666.8125,18.7
0,0.062352895736694336,10767.375,16.0
0,0.0455479621887207,10678.515625,17.6
0,0.047274112701416016,10660.03125,14.4
0,0.049802303314208984,10622.53125,16.7
0,0.03908991813659668,10621.84375,21.1
0,0.04498410224914551,10691.375,20.2
1,0.02332305908203125,10651.1875,17.4
1,0.04068493843078613,10702.640625,38.8
