generation,max_fitness,mean_fitness,stdev_fitness
0,75.16518926293739,0.0029360776811725485,13.994853047994543
1,57.05196501081935,0.4791937201817402,12.308320415199614
2,94.02326625757942,1.1111842673335526,13.507684933862224
3,57.73214184093667,0.6368013578070378,12.08774589049468
4,66.17991706964764,1.3207125477801012,13.871049472964696
5,57.2962175253438,-0.38149012211699806,11.98763711721578
6,57.216174817670264,-0.8916425601167774,10.178385922514346
7,57.3062678611973,0.8732451455504759,12.43428006148087
8,57.752975927839515,1.2331338640885567,12.960600317122562
9,57.73214184093667,-0.20545116250802808,11.335325666110514
10,57.752975927839515,1.2949257174672248,14.647152245387607
11,57.22544845445559,-1.1274594053772522,9.916346495923202
12,66.19486503108351,-0.3620121099412339,12.320725813349604
13,57.601837298482245,-0.6595651364723902,10.97770791845475
14,86.15825298494036,0.0340262247649213,13.415511275640629
15,58.05124010962183,1.0831063398832586,13.943508688247606
16,57.752975927839515,1.627129042982624,13.710707837977031
17,85.98506424239102,4.115571732390224,17.582649146327313
18,94.02326625757942,4.441073118641816,18.461401510754996
19,94.02326625757942,4.68994743560944,18.953390300757782
20,94.02326625757942,8.088629138801835,21.12363318174576
21,94.02326625757942,11.96755779952404,25.154817122668952
22,75.60183729848225,12.720661101748465,21.51506433092258
23,94.02326625757942,12.920445840367481,23.24003054059443
24,94.02326625757942,20.411523094094296,27.102559652668784
25,94.02326625757942,17.74593176990786,26.24741916578796
26,94.02326625757942,17.70114765533549,26.633271059012632
27,94.02326625757942,17.056988999316427,25.894310842932438
28,94.02326625757942,21.823950804755114,25.39166699955529
29,94.02326625757942,24.92380263827022,26.713727767648678
