generation,max_fitness,mean_fitness,stdev_fitness
0,88.25959913428288,8.98707252191218,25.997562697451762
1,90.33389190989628,7.227205964455236,24.07582778667881
2,90.79419793370404,7.85179090319922,24.95041087303936
3,90.64254710353534,8.971138329414108,26.273283939841587
4,92.06951600496187,9.924437577447907,27.66181894804763
5,88.363547911381,8.422610665933014,24.918746970952434
6,88.54969895180335,5.368905787280337,20.091407789270818
7,89.63466846406767,5.825345484119039,20.37825091824141
8,89.09312001393072,2.750917130413218,16.962127883136155
9,89.83968822339261,3.0507886989776636,16.504099705534973
10,87.7849280777976,4.061338577183377,19.481011888010574
11,92.2218800061558,3.0995151249138724,18.91115021308578
12,91.41946701359933,3.5272307924571296,18.385009333516045
13,88.1945821457686,4.484441020029007,20.045104194346763
14,92.34283177470681,8.731467262966929,23.2487224826747
15,89.02878821817866,10.984480267217105,27.911833629728623
16,91.75669509194095,11.947498315749927,27.317811509359107
17,92.27874178945528,13.788327268656696,29.798276855614482
18,90.7135479947156,23.339618763119965,34.84676774252671
19,93.09289246928255,20.023538173409708,32.749057471058734
20,90.08661051127251,23.166826797690433,33.73859848706288
21,90.81289246928257,27.061348373042687,35.56244549562334
22,89.51165549623893,26.65132233397949,35.260331095760726
23,90.29103858311016,35.24227161206676,36.96013165205782
24,89.82110614572689,34.65222930947408,38.5382816955951
25,90.32518926293743,36.868037689584895,36.48066939878052
26,90.79356122494231,39.00698106972351,39.09388738635551
27,91.85185751001958,44.80984256034842,39.02074493064988
28,90.91968822339261,47.36873931410318,38.11134020461738
29,90.07356122494231,45.61420052092108,40.27108426006125
