generation,max_fitness,mean_fitness,stdev_fitness
0,57.26665872310225,-0.9233954771448377,11.283028950951124
1,66.26990021702643,-0.42877096644989043,12.30325936023149
2,57.601837298482245,-1.4094621234104867,10.34682897722984
3,39.24425778641309,-2.4326722334901674,8.221514921306897
4,94.85250552318655,-0.8853198769738292,14.507319054880602
5,57.041575306970216,-2.573974031823883,8.779158541606682
6,75.2634277025208,-1.664045420328662,11.184656355096019
7,57.256996812190515,-1.9161054046217665,10.736153424730192
8,39.80150296873418,-1.9203906612786332,9.09040752729936
9,48.27641489804762,-1.7493554151289394,9.664778653149346
10,30.60183729848225,-3.4118365587638984,7.079695237122062
11,66.24742736117437,-1.2571467125023261,12.03793372857376
12,75.26990021702643,-1.7274742775191354,11.558081251460353
13,66.26990021702643,1.037655261687646,15.63928968452668
14,66.20090734553948,0.1513931249855005,13.675579597472538
15,66.28297229859378,1.1523244828417145,15.102838509430102
16,57.269900217026425,0.016376993470510352,12.060018435378467
17,85.08232872708771,2.8302159516011467,17.30359275021378
18,66.73730981109512,4.418108253850501,16.63331565008184
19,66.23480889721516,5.304101740523556,16.371351295380936
20,94.85250552318655,7.810385922422081,18.448497295249886
21,94.9001335721758,8.174929845537337,20.083978311147018
22,66.17991706964764,4.942925746989634,16.537828832068808
23,75.26990021702643,6.4549168329620334,16.573724746916067
24,75.26990021702643,12.108319666359463,19.95704365192878
25,89.57399989261955,11.891607910896075,22.46500166184092
26,94.78506424239102,14.145906903419439,24.01484125084617
27,94.78506424239102,17.056573706893868,24.747441835583228
28,94.78506424239102,16.55889858520737,26.81969080960898
29,94.78506424239102,14.302018153744662,23.16729688729875
