generation,max_fitness,mean_fitness,stdev_fitness
0,91.35650369121832,3.3277995664132294,19.334459397293095
1,90.92518926293742,2.943729700048412,18.21890226691305
2,90.90698639161589,2.463272056243926,17.45272429277817
3,88.09003982910276,2.915087453071176,18.0063915097023
4,89.92363040979633,3.435533548931586,17.664859286596155
5,91.44990021702645,4.792384358174727,20.627086472128514
6,86.83703951986408,5.013935660688787,21.716335406774824
7,88.9831719383005,6.19064935820739,23.248990068688762
8,90.46190280195867,7.5992289854228865,23.593473958663278
9,89.99297711225778,7.308210024628953,23.596140569648693
10,90.44660195700338,6.282994497341324,23.363824422679315
11,88.02619038813077,4.266936261196233,19.638050837385727
12,88.52826519084712,5.049256438520894,21.578667998514465
13,88.70626719449066,6.146095601061601,21.374739588743285
14,91.37547959267734,5.538424318791786,17.96231080474743
15,90.98660195700339,6.610842668243628,20.299373088606245
16,91.36885900702332,9.07904265377972,27.47751117918039
17,89.33262782095376,9.488686925364238,26.24963948201739
18,87.19385326087634,13.411318267589552,29.07969107140093
19,91.01297711225777,16.373490583615773,32.10667781220369
20,89.5784215803562,22.653989209947497,35.56034717833278
21,90.01936107665804,29.545399443920722,37.837822457357056
22,91.07297711225776,23.49359721495451,33.44833487727972
23,90.57970258104908,27.63960554078342,34.43010363117635
24,91.43598249381269,29.641753643781193,36.27858435193456
25,91.56342770252084,34.50968750755999,35.921980021823174
26,89.71645558296868,29.400698821243495,35.33412926848144
27,91.4335479947156,35.847272808750404,35.57065110835317
28,90.90698639161589,40.837612974093624,34.950060172311865
29,91.89650369121831,36.93256177172677,36.654921331330705
