generation,max_fitness,mean_fitness,stdev_fitness
0,88.72791083107562,8.535622127202446,20.213888573608926
1,87.44355587220551,12.392770016382094,22.397063034814515
2,91.33740496697307,15.926035235159372,23.63011924803697
3,89.26626786119733,23.302130658123218,28.339860540216726
4,89.5166851959654,27.28629596048838,31.402266693561643
5,89.95703951986408,27.765184660358045,32.24703315232677
6,88.61041085661014,33.897467428125175,31.74128202859914
7,91.88157804100165,36.86221503769444,33.260676417373
8,90.98901301948916,35.87752961624261,30.537685488920147
9,90.25310261863332,45.381294998037355,32.25466042340197
10,91.0024637949176,44.375020300142396,35.3540505970749
11,90.31897665065051,44.806293493918446,33.744317678226736
12,91.40234767677737,43.18668434652623,34.1793756706221
13,91.15617481767029,49.21928086917234,36.30310179296547
14,90.83699681219055,45.38395186886874,35.66798855753102
15,91.6909239151048,52.766032321504426,34.8490730928196
16,92.27959913428288,53.557910031776245,34.14970960560041
17,92.4670404150784,53.239792067989626,35.13848882169382
18,92.25288973525114,55.18025249174717,35.14549316429028
19,91.95288973525115,59.68317115945889,34.45929871331791
20,91.10801221164348,60.978741487572464,32.70206687527496
21,91.8792564842077,56.51404719565461,35.405920825796564
22,92.17641489804764,63.65514302386512,31.257989912271096
23,91.9931026186333,66.9576753635208,32.945281396379265
24,92.30528862039819,67.63482986347887,28.93614478706029
25,92.33959913428288,63.036159568260864,34.70270843875094
26,92.43650369121832,65.4266933107404,31.632412847123504
27,91.75946500072773,59.065408324199616,34.40575030957437
28,92.33959913428288,62.8819684327777,32.85821323673642
29,92.7928282285399,62.23368247283902,33.67477203136428
